IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.
bio desert, riž in vanilija, the bridge;S1047;4x 110g;2,97 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prema d.o.o.;11215;Ulica majorja Lavrièa 12, 1000 Ljubljana, Slovenija;01 510 11 35
bio desert, riž in èokolada, the bridge;S1050;4x 110g;2,99 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Prema d.o.o.;11215;Ulica majorja Lavrièa 12, 1000 Ljubljana, Slovenija;01 510 11 35
sladki krompir;S60;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
krompir poreklo slovensko;S63;1kg;0,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
solata endivija;S99;1kg;2,19 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
mehka solata;S108;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
janež koromaè;S117;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
èrna redkev;S120;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
hren;S126;1kg;3,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zelena stebelna;S135;1kg;1,69 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
peteršilj, list;S138;1kg;3,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
korenje;S150;1kg;1,09 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
korenje rumeno;S153;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
bio korenje;S156;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
bio šitake;S189;1kg;17,16 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
buèe hokaido;S192;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
melancani;S195;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
buèke;S201;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
buèke okrogle;S204;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
kumare;S210;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
ingver;S225;1kg;3,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
trobarvna paprika;S228;1kg;3,18 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rdeèi pekoèi feferoni;S231;1kg;4,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rumena paprika;S234;1kg;2,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
paprika babura;S237;1kg;3,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zelena paprika;S240;1kg;2,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zelena paprik kozji rog;S243;1kg;2,09 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rdeèa paprika;S246;1kg;2,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rdeèa dolga paprika kapija;S249;1kg;2,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
paradižnik papeletto;S258;1kg;5,48 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
paradižnik monterosa;S264;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
èešnjev paradižnik;S270;1kg;2,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
paradižnik grapolo;S288;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
paradižnik;S294;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zeleni šparglji;S303;1kg;4,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
cvetaèa;S306;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
beli šparglji;S309;1kg;6,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
brokoli;S312;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zeleni šparglji ramovž;S318;1kg;9,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zeleni šparglji;S321;1kg;7,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
kitajsko zelje;S330;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
zelje belo;S333;1kg;0,59 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
mlado zelje;S336;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rdeèe zelje;S339;1kg;0,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jagode;S381;1kg;5,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
kivi;S387;1kg;3,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
breskve;S393;1kg;6,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
melone;S396;1kg;1,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
lubenica;S399;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
mini lubenica;S402;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
granatno jabolko;S405;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
breskve;S408;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
borovnice;S411;1kg;15,92 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
slive ringlo;S414;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
èrno grozdje;S417;1kg;4,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
grozdje red globe;S420;1kg;3,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
belo grozdje;S423;1kg;4,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
limone;S435;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
limete;S438;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
grenivka rdeèa;S441;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
klementine;S444;1kg;1,70 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
grenivka bela;S447;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
rdeèe pomaranèe;S450;1kg;1,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
pomaranèe natalia;S456;1kg;1,89 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
pomaranèe;S459;1kg;1,35 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
kokos;S462;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
papaja;S465;1kg;5,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
mango;S471;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
melona rumena;S474;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
avokado;S480;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
ananas ekstra;S483;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
banane;S489;1kg;1,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
banane za kuhanje,plantain;S492;1kg;2,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
hruške viljamovka;S513;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jabolka elstar;S516;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
hruške abate;S519;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jabolka fuji;S522;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jabolka braeburn;S525;1kg;1,69 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jabolka idared;S534;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;11000;/;/
jabolka jonagold;S507;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;11219;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40
jabolko zlati delišes;S510;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;11219;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40
jabolka gala;S528;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;11219;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40
jabolka eliza;S540;1kg;1,59 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Slom d.o.o.;11219;Uniše 11, 3232 Ponikva, Slovenija;03 749 04 40
èebula;S12;1kg;0,73 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èebula;S15;1kg;1,19 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èebula;S18;1kg;3,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èebula;S21;1kg;9,95 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èebula;S24;1kg;4,76 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio rjava baby èebula;S27;1kg;4,76 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio èesen;S30;1kg;15,96 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio èebula rumena;S33;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bo rdeèa èebula;S36;1kg;3,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èebula;S39;1kg;0,65 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
krompir;S42;1kg;0,71 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
krompir za kuhanje;S45;1kg;0,84 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
krompir s-budget;S48;1kg;0,65 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
krompir za peèenje;S51;1kg;0,84 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mladi krompir;S54;1kg;1,14 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mladi bio krompir spar natur*pur;S57;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
krompir bistra spar nekoè;S69;1kg;0,70 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
motovilec;S75;1kg;9,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
rukola;S78;1kg;9,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio motovilec spar natur*pur;S81;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
špinaèa;S84;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio špinaèa spar natur*pur;S87;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio rukola spar natur*pur;S90;1kg;12,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio brokoli in cvetaèa spar natur*pur;S93;1kg;7,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio rdeèa pesa spar natur*pur;S114;1kg;2,92 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio peteršilj korenina spar natur*pur;S129;1kg;12,30 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio korenje spar natur*pur;S144;1kg;2,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
korenje;S147;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
šampinjoni;S177;1kg;3,94 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
šampinjoni;S180;1kg;5,56 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bukov ostrigar;S186;1kg;6,76 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio buèke spar natur*pur;S198;1kg;4,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio kumare spar natur*pur;S207;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio stroèji fižol spar natur*pur;S213;1kg;10,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
jušna zelenjava s-buget;S216;1kg;2,48 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
jušna zelenjava;S219;1kg;2,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio ingver spar natur*pur;S222;1kg;13,30 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
paradižnik harmony;S252;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio èešnjev paradižnik spar natur*pur;S267;1kg;4,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
paradižnik bumbolino snack;S279;1kg;9,95 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio paradižnik grapolo;S282;1kg;6,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio paradižnik;S291;1kg;5,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio paprika spar natur*pur;S297;1kg;9,23 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio cvetaèa spar natur*pur;S300;1kg;6,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kislo zelje za sarmo;S327;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kislo zelje;S351;1kg;1,59 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kisla repa;S354;1kg;2,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
rdeèe zelje machland;S369;1kg;1,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kislo zelje;S372;1kg;2,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kislo zelje spar vital;S375;1kg;1,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio kivi spar natur*pur;S390;1kg;5,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio rdeèe grenivke spar natur*pur;S426;1kg;5,70 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio limone spar natur*pur;S429;1kg;3,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio limete spar natur*pur;S432;1kg;13,96 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio pomaranèe spar natur*pur;S453;1kg;2,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio mango spar natur*pur;S468;1kg;12,48 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio avokado spar natur*pur;S477;1kg;16,63 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio banane spar natur*pur;S486;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio hruške spar natur*pur;S498;1kg;6,58 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
